# Force          
# CofR           : ( 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 )
#                
# Time           	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
1                	( 8.1994792448e+00 0.0000000000e+00 2.0521507239e+01 )	( 8.1475634796e+00 0.0000000000e+00 2.0528277200e+01 )	( 5.1915765239e-02 0.0000000000e+00 -6.7699606877e-03 )
2                	( 2.4680370486e+00 0.0000000000e+00 1.8029261227e+00 )	( 2.4193783575e+00 0.0000000000e+00 1.8086491197e+00 )	( 4.8658691138e-02 0.0000000000e+00 -5.7229969985e-03 )
3                	( 1.1786211530e+00 0.0000000000e+00 8.1145765380e-02 )	( 1.1320849374e+00 0.0000000000e+00 8.6600829601e-02 )	( 4.6536215614e-02 0.0000000000e+00 -5.4550642218e-03 )
4                	( 9.7254862308e-01 0.0000000000e+00 7.8523150981e-02 )	( 9.2818995282e-01 0.0000000000e+00 8.3509566559e-02 )	( 4.4358670251e-02 0.0000000000e+00 -4.9864155784e-03 )
5                	( 9.8291977614e-01 0.0000000000e+00 2.2446120539e-01 )	( 9.4017682646e-01 0.0000000000e+00 2.2910327424e-01 )	( 4.2742949678e-02 0.0000000000e+00 -4.6420688499e-03 )
6                	( 1.0153317554e+00 0.0000000000e+00 2.6971604019e-01 )	( 9.7421449003e-01 0.0000000000e+00 2.7404459539e-01 )	( 4.1117265409e-02 0.0000000000e+00 -4.3285551988e-03 )
7                	( 1.0393700513e+00 0.0000000000e+00 3.1703760300e-01 )	( 9.9965526186e-01 0.0000000000e+00 3.2110321418e-01 )	( 3.9714789482e-02 0.0000000000e+00 -4.0656111708e-03 )
8                	( 1.0633335623e+00 0.0000000000e+00 3.9469859841e-01 )	( 1.0250061818e+00 0.0000000000e+00 3.9851764019e-01 )	( 3.8327380468e-02 0.0000000000e+00 -3.8190417893e-03 )
9                	( 1.0875185595e+00 0.0000000000e+00 4.7936107045e-01 )	( 1.0505339602e+00 0.0000000000e+00 4.8295294895e-01 )	( 3.6984599254e-02 0.0000000000e+00 -3.5918784928e-03 )
10               	( 1.1049798798e+00 0.0000000000e+00 5.4267025551e-01 )	( 1.0693031054e+00 0.0000000000e+00 5.4605408417e-01 )	( 3.5676774428e-02 0.0000000000e+00 -3.3838286577e-03 )
11               	( 1.1178444946e+00 0.0000000000e+00 5.9407991297e-01 )	( 1.0833998898e+00 0.0000000000e+00 5.9727429599e-01 )	( 3.4444604736e-02 0.0000000000e+00 -3.1943830191e-03 )
12               	( 1.1263290801e+00 0.0000000000e+00 6.3394489464e-01 )	( 1.0930346219e+00 0.0000000000e+00 6.3696843075e-01 )	( 3.3294458180e-02 0.0000000000e+00 -3.0235361101e-03 )
13               	( 1.1302483020e+00 0.0000000000e+00 6.6375023383e-01 )	( 1.0979902141e+00 0.0000000000e+00 6.6662719138e-01 )	( 3.2258087900e-02 0.0000000000e+00 -2.8769575499e-03 )
14               	( 1.1329433114e+00 0.0000000000e+00 6.9950505497e-01 )	( 1.1015661854e+00 0.0000000000e+00 7.0227386772e-01 )	( 3.1377126008e-02 0.0000000000e+00 -2.7688127427e-03 )
15               	( 1.1325674449e+00 0.0000000000e+00 7.3068450701e-01 )	( 1.1020306337e+00 0.0000000000e+00 7.3335589399e-01 )	( 3.0536811230e-02 0.0000000000e+00 -2.6713869827e-03 )
16               	( 1.1314715510e+00 0.0000000000e+00 7.4960331924e-01 )	( 1.1016113394e+00 0.0000000000e+00 7.5220943854e-01 )	( 2.9860211592e-02 0.0000000000e+00 -2.6061193046e-03 )
17               	( 1.1301033837e+00 0.0000000000e+00 7.8545124738e-01 )	( 1.1008388506e+00 0.0000000000e+00 7.8799484170e-01 )	( 2.9264533113e-02 0.0000000000e+00 -2.5435943252e-03 )
18               	( 1.1221041228e+00 0.0000000000e+00 8.1339654080e-01 )	( 1.0934671860e+00 0.0000000000e+00 8.1587015887e-01 )	( 2.8636936816e-02 0.0000000000e+00 -2.4736180684e-03 )
19               	( 1.1178887967e+00 0.0000000000e+00 8.5920445492e-01 )	( 1.0895832241e+00 0.0000000000e+00 8.6163302857e-01 )	( 2.8305572600e-02 0.0000000000e+00 -2.4285736453e-03 )
20               	( 1.1149107244e+00 0.0000000000e+00 9.1996833857e-01 )	( 1.0869581832e+00 0.0000000000e+00 9.2234434649e-01 )	( 2.7952541180e-02 0.0000000000e+00 -2.3760079221e-03 )
21               	( 1.1126270751e+00 0.0000000000e+00 9.8574963671e-01 )	( 1.0849752337e+00 0.0000000000e+00 9.8807740567e-01 )	( 2.7651841382e-02 0.0000000000e+00 -2.3277689595e-03 )
22               	( 1.1124573528e+00 0.0000000000e+00 1.0571482936e+00 )	( 1.0850774449e+00 0.0000000000e+00 1.0594320362e+00 )	( 2.7379907898e-02 0.0000000000e+00 -2.2837426223e-03 )
23               	( 1.1097326256e+00 0.0000000000e+00 1.1149346326e+00 )	( 1.0825879984e+00 0.0000000000e+00 1.1171921598e+00 )	( 2.7144627239e-02 0.0000000000e+00 -2.2575272230e-03 )
24               	( 1.1072924373e+00 0.0000000000e+00 1.1685636092e+00 )	( 1.0803473098e+00 0.0000000000e+00 1.1707913171e+00 )	( 2.6945127432e-02 0.0000000000e+00 -2.2277078371e-03 )
25               	( 1.1042970307e+00 0.0000000000e+00 1.2155842690e+00 )	( 1.0775262856e+00 0.0000000000e+00 1.2177946578e+00 )	( 2.6770745134e-02 0.0000000000e+00 -2.2103887924e-03 )
26               	( 1.1006366358e+00 0.0000000000e+00 1.2541195275e+00 )	( 1.0740366364e+00 0.0000000000e+00 1.2563156059e+00 )	( 2.6599999400e-02 0.0000000000e+00 -2.1960784769e-03 )
27               	( 1.0973239685e+00 0.0000000000e+00 1.2890570499e+00 )	( 1.0708922520e+00 0.0000000000e+00 1.2912347673e+00 )	( 2.6431716520e-02 0.0000000000e+00 -2.1777173865e-03 )
28               	( 1.0930602626e+00 0.0000000000e+00 1.3101052636e+00 )	( 1.0667340009e+00 0.0000000000e+00 1.3122763486e+00 )	( 2.6326261685e-02 0.0000000000e+00 -2.1710850263e-03 )
29               	( 1.0886704545e+00 0.0000000000e+00 1.3287177701e+00 )	( 1.0625081898e+00 0.0000000000e+00 1.3308830197e+00 )	( 2.6162264739e-02 0.0000000000e+00 -2.1652496845e-03 )
30               	( 1.0824893346e+00 0.0000000000e+00 1.3394339645e+00 )	( 1.0564509070e+00 0.0000000000e+00 1.3415946874e+00 )	( 2.6038427604e-02 0.0000000000e+00 -2.1607229615e-03 )
31               	( 1.0764588274e+00 0.0000000000e+00 1.3447709290e+00 )	( 1.0505186051e+00 0.0000000000e+00 1.3469277645e+00 )	( 2.5940222303e-02 0.0000000000e+00 -2.1568354851e-03 )
32               	( 1.0690521214e+00 0.0000000000e+00 1.3355500831e+00 )	( 1.0431896968e+00 0.0000000000e+00 1.3377010283e+00 )	( 2.5862424649e-02 0.0000000000e+00 -2.1509452834e-03 )
33               	( 1.0624865412e+00 0.0000000000e+00 1.3209721698e+00 )	( 1.0366644877e+00 0.0000000000e+00 1.3231242224e+00 )	( 2.5822053437e-02 0.0000000000e+00 -2.1520526526e-03 )
34               	( 1.0550254570e+00 0.0000000000e+00 1.2935548862e+00 )	( 1.0292167137e+00 0.0000000000e+00 1.2957072573e+00 )	( 2.5808743333e-02 0.0000000000e+00 -2.1523710520e-03 )
35               	( 1.0474694606e+00 0.0000000000e+00 1.2535255570e+00 )	( 1.0216323835e+00 0.0000000000e+00 1.2556790408e+00 )	( 2.5837077103e-02 0.0000000000e+00 -2.1534838404e-03 )
36               	( 1.0431627501e+00 0.0000000000e+00 1.2175800270e+00 )	( 1.0172501622e+00 0.0000000000e+00 1.2197348657e+00 )	( 2.5912587887e-02 0.0000000000e+00 -2.1548386582e-03 )
37               	( 1.0359378626e+00 0.0000000000e+00 1.1600669880e+00 )	( 1.0098940380e+00 0.0000000000e+00 1.1622231383e+00 )	( 2.6043824573e-02 0.0000000000e+00 -2.1561502138e-03 )
38               	( 1.0290894908e+00 0.0000000000e+00 1.0871703912e+00 )	( 1.0028836047e+00 0.0000000000e+00 1.0893261805e+00 )	( 2.6205886025e-02 0.0000000000e+00 -2.1557893315e-03 )
39               	( 1.0246916890e+00 0.0000000000e+00 1.0190305927e+00 )	( 9.9828449458e-01 0.0000000000e+00 1.0211839784e+00 )	( 2.6407194400e-02 0.0000000000e+00 -2.1533857104e-03 )
40               	( 1.0184892745e+00 0.0000000000e+00 9.3877860362e-01 )	( 9.9182732039e-01 0.0000000000e+00 9.4093110327e-01 )	( 2.6661954059e-02 0.0000000000e+00 -2.1524996516e-03 )
41               	( 1.0112953302e+00 0.0000000000e+00 8.4275963811e-01 )	( 9.8430262276e-01 0.0000000000e+00 8.4492052553e-01 )	( 2.6992707453e-02 0.0000000000e+00 -2.1608874154e-03 )
42               	( 1.0050160287e+00 0.0000000000e+00 7.4681830524e-01 )	( 9.7762196408e-01 0.0000000000e+00 7.4899133783e-01 )	( 2.7394064655e-02 0.0000000000e+00 -2.1730325814e-03 )
43               	( 9.9939761103e-01 0.0000000000e+00 6.5045464432e-01 )	( 9.7154325188e-01 0.0000000000e+00 6.5263817335e-01 )	( 2.7854359150e-02 0.0000000000e+00 -2.1835290315e-03 )
44               	( 9.9301979252e-01 0.0000000000e+00 5.3987100115e-01 )	( 9.6473950338e-01 0.0000000000e+00 5.4207097001e-01 )	( 2.8280289146e-02 0.0000000000e+00 -2.1999688647e-03 )
45               	( 9.8459943445e-01 0.0000000000e+00 4.1408413709e-01 )	( 9.5588052212e-01 0.0000000000e+00 4.1629724258e-01 )	( 2.8718912330e-02 0.0000000000e+00 -2.2131054943e-03 )
46               	( 9.7707592774e-01 0.0000000000e+00 2.9487903843e-01 )	( 9.4790670373e-01 0.0000000000e+00 2.9709978121e-01 )	( 2.9169224017e-02 0.0000000000e+00 -2.2207427844e-03 )
47               	( 9.6930918925e-01 0.0000000000e+00 1.7067698550e-01 )	( 9.3970210983e-01 0.0000000000e+00 1.7291051338e-01 )	( 2.9607079412e-02 0.0000000000e+00 -2.2335278755e-03 )
48               	( 9.6041535908e-01 0.0000000000e+00 3.2093262823e-02 )	( 9.3036459310e-01 0.0000000000e+00 3.4339627351e-02 )	( 3.0050765982e-02 0.0000000000e+00 -2.2463645273e-03 )
49               	( 9.5134376328e-01 0.0000000000e+00 -1.1533196140e-01 )	( 9.2086126903e-01 0.0000000000e+00 -1.1306591852e-01 )	( 3.0482494247e-02 0.0000000000e+00 -2.2660428802e-03 )
50               	( 9.4288346981e-01 0.0000000000e+00 -2.6442166271e-01 )	( 9.1208025650e-01 0.0000000000e+00 -2.6211929422e-01 )	( 3.0803213315e-02 0.0000000000e+00 -2.3023684898e-03 )
51               	( 9.3632162560e-01 0.0000000000e+00 -3.8560922962e-01 )	( 9.0527166201e-01 0.0000000000e+00 -3.8328495825e-01 )	( 3.1049963589e-02 0.0000000000e+00 -2.3242713647e-03 )
52               	( 9.3066770596e-01 0.0000000000e+00 -4.7002562000e-01 )	( 8.9934891442e-01 0.0000000000e+00 -4.6768549066e-01 )	( 3.1318791541e-02 0.0000000000e+00 -2.3401293394e-03 )
53               	( 9.1729197787e-01 0.0000000000e+00 -5.4246768395e-01 )	( 8.8558617272e-01 0.0000000000e+00 -5.4010417027e-01 )	( 3.1705805147e-02 0.0000000000e+00 -2.3635136718e-03 )
54               	( 9.0213045563e-01 0.0000000000e+00 -6.2248284309e-01 )	( 8.7014000156e-01 0.0000000000e+00 -6.2011182802e-01 )	( 3.1990454070e-02 0.0000000000e+00 -2.3710150687e-03 )
55               	( 8.8744995585e-01 0.0000000000e+00 -6.9723410132e-01 )	( 8.5528207357e-01 0.0000000000e+00 -6.9483307194e-01 )	( 3.2167882278e-02 0.0000000000e+00 -2.4010293766e-03 )
56               	( 8.7208840621e-01 0.0000000000e+00 -7.7708703100e-01 )	( 8.3983163139e-01 0.0000000000e+00 -7.7466141905e-01 )	( 3.2256774815e-02 0.0000000000e+00 -2.4256119504e-03 )
57               	( 8.5726264090e-01 0.0000000000e+00 -8.5621473204e-01 )	( 8.2499299004e-01 0.0000000000e+00 -8.5376977492e-01 )	( 3.2269650855e-02 0.0000000000e+00 -2.4449571181e-03 )
58               	( 8.4402413547e-01 0.0000000000e+00 -9.2498061006e-01 )	( 8.1178933243e-01 0.0000000000e+00 -9.2251581584e-01 )	( 3.2234803035e-02 0.0000000000e+00 -2.4647942201e-03 )
59               	( 8.3185712912e-01 0.0000000000e+00 -9.8500787873e-01 )	( 7.9966186027e-01 0.0000000000e+00 -9.8252244572e-01 )	( 3.2195268847e-02 0.0000000000e+00 -2.4854330091e-03 )
60               	( 8.2128674929e-01 0.0000000000e+00 -1.0259217957e+00 )	( 7.8911175505e-01 0.0000000000e+00 -1.0234144869e+00 )	( 3.2174994243e-02 0.0000000000e+00 -2.5073087380e-03 )
61               	( 8.1148807061e-01 0.0000000000e+00 -1.0611104029e+00 )	( 7.7931476663e-01 0.0000000000e+00 -1.0585810643e+00 )	( 3.2173303982e-02 0.0000000000e+00 -2.5293386255e-03 )
62               	( 8.0261097867e-01 0.0000000000e+00 -1.0893570640e+00 )	( 7.7042606106e-01 0.0000000000e+00 -1.0868057457e+00 )	( 3.2184917603e-02 0.0000000000e+00 -2.5513182194e-03 )
63               	( 7.9536417576e-01 0.0000000000e+00 -1.1065458305e+00 )	( 7.6316679329e-01 0.0000000000e+00 -1.1039728449e+00 )	( 3.2197382469e-02 0.0000000000e+00 -2.5729856014e-03 )
64               	( 7.8854058819e-01 0.0000000000e+00 -1.1188137375e+00 )	( 7.5632933611e-01 0.0000000000e+00 -1.1162193372e+00 )	( 3.2211252076e-02 0.0000000000e+00 -2.5944003777e-03 )
65               	( 7.8177021161e-01 0.0000000000e+00 -1.1301814387e+00 )	( 7.4954381647e-01 0.0000000000e+00 -1.1275653983e+00 )	( 3.2226395146e-02 0.0000000000e+00 -2.6160403796e-03 )
