# Time           	totalLift        	frontLift        	rearLift         	drag             	side             	Xmoment          	Ymoment          	Zmoment          
1	-3.6130615542e+00	-8.9047619076e-01	-2.7225853635e+00	1.7766731016e+00	0.0000000000e+00	-4.3821527549e+00	2.2901364659e+00	-2.1548630738e+00
2	-1.1760643762e+00	-3.3266217645e-01	-8.4340219976e-01	4.9803718810e-01	0.0000000000e+00	-1.4264062953e+00	6.3842502914e-01	-6.0405144034e-01
3	-6.3892958303e-01	-2.0206914469e-01	-4.3686043834e-01	2.2124943300e-01	0.0000000000e+00	-7.7493477220e-01	2.9348911706e-01	-2.6834550084e-01
4	-5.8657808928e-01	-1.9064058898e-01	-3.9593750030e-01	1.8902209555e-01	0.0000000000e+00	-7.1143952334e-01	2.5662113916e-01	-2.2925811927e-01
5	-6.1775061450e-01	-2.0167498023e-01	-4.1607563427e-01	1.9373791446e-01	0.0000000000e+00	-7.4924756098e-01	2.6800081756e-01	-2.3497776687e-01
6	-6.5946396480e-01	-2.1646213661e-01	-4.4300182819e-01	2.0179130087e-01	0.0000000000e+00	-7.9984018727e-01	2.8317461447e-01	-2.4474543037e-01
7	-6.9906797641e-01	-2.3091521717e-01	-4.6815275923e-01	2.0857452050e-01	0.0000000000e+00	-8.4787447230e-01	2.9654692757e-01	-2.5297255413e-01
8	-7.3707952404e-01	-2.4477749352e-01	-4.9230203052e-01	2.1465730242e-01	0.0000000000e+00	-8.9397731492e-01	3.0940567125e-01	-2.6035014213e-01
9	-7.7400855846e-01	-2.5829572033e-01	-5.1571283813e-01	2.2019510593e-01	0.0000000000e+00	-9.3876721608e-01	3.2177139724e-01	-2.6706674536e-01
10	-8.0689160621e-01	-2.7060733053e-01	-5.3628427568e-01	2.2412936681e-01	0.0000000000e+00	-9.7864988515e-01	3.3209618143e-01	-2.7183846926e-01
11	-8.3699155736e-01	-2.8209112884e-01	-5.5490042852e-01	2.2699117458e-01	0.0000000000e+00	-1.0151570362e+00	3.4101162459e-01	-2.7530945324e-01
12	-8.6311714859e-01	-2.9238299696e-01	-5.7073415163e-01	2.2835729380e-01	0.0000000000e+00	-1.0468438286e+00	3.4793894334e-01	-2.7696637024e-01
13	-8.8776694063e-01	-3.0217805110e-01	-5.8558888953e-01	2.2934549573e-01	0.0000000000e+00	-1.0767406772e+00	3.5426354804e-01	-2.7816492491e-01
14	-9.0988494040e-01	-3.1117354342e-01	-5.9871139699e-01	2.2947590567e-01	0.0000000000e+00	-1.1035668057e+00	3.5942231697e-01	-2.7832309445e-01
