# Moment         
# CofR           : ( 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 )
#                
# Time           	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
1                	( -2.5505738096e+01 1.3613930413e+01 -1.4755871953e+01 )	( -2.5512740110e+01 1.3615694884e+01 -1.4736806579e+01 )	( 7.0020145433e-03 -1.7644713780e-03 -1.9065374231e-02 )
2                	( -7.4632163470e+00 3.3592407594e+00 -3.7409111034e+00 )	( -7.4713466404e+00 3.3617194142e+00 -3.7214219708e+00 )	( 8.1302934025e-03 -2.4786548818e-03 -1.9489132629e-02 )
3                	( -4.1587055788e+00 1.5760564151e+00 -1.7348129110e+00 )	( -4.1662535567e+00 1.5783551687e+00 -1.7158858629e+00 )	( 7.5479779168e-03 -2.2987536242e-03 -1.8927048061e-02 )
4                	( -3.7700769682e+00 1.3478466649e+00 -1.4539780045e+00 )	( -3.7772719013e+00 1.3500925926e+00 -1.4353144564e+00 )	( 7.1949331398e-03 -2.2459277315e-03 -1.8663548172e-02 )
5                	( -3.9742427412e+00 1.3975048588e+00 -1.4805381014e+00 )	( -3.9811012786e+00 1.3996467412e+00 -1.4621495011e+00 )	( 6.8585373656e-03 -2.1418824232e-03 -1.8388600320e-02 )
6                	( -4.2364429093e+00 1.4582923830e+00 -1.5239108189e+00 )	( -4.2430356758e+00 1.4603677920e+00 -1.5056840703e+00 )	( 6.5927664712e-03 -2.0754090432e-03 -1.8226748610e-02 )
7                	( -4.4753380731e+00 1.5089114855e+00 -1.5558538935e+00 )	( -4.4815776582e+00 1.5108950726e+00 -1.5379301434e+00 )	( 6.2395850851e-03 -1.9835871350e-03 -1.7923750128e-02 )
8                	( -4.7074791938e+00 1.5647109696e+00 -1.5914171122e+00 )	( -4.7133807507e+00 1.5666163775e+00 -1.5737955326e+00 )	( 5.9015569558e-03 -1.9054079112e-03 -1.7621579657e-02 )
9                	( -4.9114699101e+00 1.6108175652e+00 -1.6155744597e+00 )	( -4.9170286070e+00 1.6126456400e+00 -1.5983100904e+00 )	( 5.5586969268e-03 -1.8280747969e-03 -1.7264369365e-02 )
10               	( -5.0768721384e+00 1.6460153274e+00 -1.6280883772e+00 )	( -5.0820655830e+00 1.6477575520e+00 -1.6112292185e+00 )	( 5.1934446107e-03 -1.7422245288e-03 -1.6859158663e-02 )
