# Moment         
# CofR           : ( 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 )
#                
# Time           	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
1                	( 1.9349518148e+02 -4.1954265981e+01 -1.0720720560e+02 )	( 1.9354100758e+02 -4.1926506201e+01 -1.0692576420e+02 )	( -4.5826104999e-02 -2.7759780570e-02 -2.8144139952e-01 )
2                	( 3.9762573133e+00 1.3032097659e+00 -6.3255396745e+00 )	( 3.9997466636e+00 1.3205866342e+00 -6.2752388995e+00 )	( -2.3489350306e-02 -1.7376868240e-02 -5.0300775034e-02 )
3                	( 5.0091467794e-01 8.2758099340e-01 -1.0054482056e+00 )	( 4.8011813854e-01 8.4110891851e-01 -9.4742781059e-01 )	( 2.0796539393e-02 -1.3527925113e-02 -5.8020394979e-02 )
4                	( 1.8811268716e-01 7.4916073587e-01 -1.9312390110e-01 )	( 1.8982984095e-01 7.5951795378e-01 -1.4231126381e-01 )	( -1.7171537916e-03 -1.0357217906e-02 -5.0812637291e-02 )
5                	( -1.5835114387e-01 7.6066465546e-01 1.2712856232e-01 )	( -1.4787143264e-01 7.6970608667e-01 1.8144085555e-01 )	( -1.0479711230e-02 -9.0414312098e-03 -5.4312293226e-02 )
6                	( -8.0876689707e-01 8.3467641628e-01 2.6854243560e-01 )	( -7.9378255196e-01 8.4246377680e-01 3.1973529377e-01 )	( -1.4984345106e-02 -7.7873605125e-03 -5.1192858167e-02 )
7                	( -1.0010178407e+00 8.4390372763e-01 2.2779901315e-01 )	( -9.8804421597e-01 8.5104007176e-01 2.7773261710e-01 )	( -1.2973624773e-02 -7.1363441284e-03 -4.9933603948e-02 )
8                	( -8.9045088547e-01 8.1608826839e-01 6.7370821217e-02 )	( -8.7904715530e-01 8.2259686457e-01 1.1409606931e-01 )	( -1.1403730168e-02 -6.5085961818e-03 -4.6725248095e-02 )
9                	( -7.0863494243e-01 7.7454873389e-01 -9.6711419420e-02 )	( -6.9899688291e-01 7.8071105567e-01 -5.2256052942e-02 )	( -9.6380595176e-03 -6.1623217874e-03 -4.4455366478e-02 )
10               	( -5.0091398235e-01 7.3189118313e-01 -2.3885109340e-01 )	( -4.9289173140e-01 7.3769365486e-01 -1.9734914934e-01 )	( -8.0222509482e-03 -5.8024717257e-03 -4.1501944065e-02 )
11               	( -3.1401342305e-01 6.9434052347e-01 -3.5330983761e-01 )	( -3.0773510874e-01 6.9995016611e-01 -3.1313584857e-01 )	( -6.2783143061e-03 -5.6096426384e-03 -4.0173989038e-02 )
12               	( -1.8003154518e-01 6.6861895709e-01 -4.2267880687e-01 )	( -1.7609068825e-01 6.7400888219e-01 -3.8402977342e-01 )	( -3.9408569286e-03 -5.3899250994e-03 -3.8649033456e-02 )
