# Time           	totalLift        	frontLift        	rearLift         	drag             	side             	Xmoment          	Ymoment          	Zmoment          
1	3.0969231231e+01	1.2000611522e+01	1.8968619709e+01	1.7158694674e+01	6.2942517793e-17	4.0171004581e+01	-8.7100102340e+00	-2.2256994280e+01
2	6.3640671167e-01	4.2642567967e-01	2.0998103200e-01	1.0124133291e+00	6.3365517362e-19	8.2549988855e-01	2.7055580959e-01	-1.3132279641e+00
3	8.0172241858e-02	1.0881085014e-01	-2.8638608281e-02	1.6092368673e-01	2.1127729159e-18	1.0399352412e-01	1.7181182303e-01	-2.0873834771e-01
4	3.0107753907e-02	7.7266360225e-02	-4.7158606318e-02	3.0909807178e-02	1.7597981650e-18	3.9053559680e-02	1.5553120818e-01	-4.0093924078e-02
5	-2.5344368540e-02	5.0495617895e-02	-7.5839986435e-02	-2.0347141528e-02	1.6959625992e-18	-3.2874847203e-02	1.5791950541e-01	2.6392812577e-02
6	-1.2944451048e-01	4.5916984931e-03	-1.3403620897e-01	-4.2980671249e-02	1.3375470471e-18	-1.6790588002e-01	1.7328488433e-01	5.5751359430e-02
7	-1.6021459935e-01	-1.0027083207e-02	-1.5018751614e-01	-3.6459617539e-02	1.0815016528e-18	-2.0781857180e-01	1.7520054117e-01	4.7292729104e-02
8	-1.4251817105e-01	-3.4887455786e-03	-1.3902942547e-01	-1.0782813942e-02	7.7698777983e-19	-1.8486406910e-01	1.6942584987e-01	1.3986671642e-02
9	-1.1341822170e-01	7.6116655120e-03	-1.2102988721e-01	1.5478826335e-02	4.1635291308e-19	-1.4711775922e-01	1.6080194090e-01	-2.0077992862e-02
10	-8.0172130529e-02	2.0692304193e-02	-1.0086443472e-01	3.8228521686e-02	3.1980828425e-19	-1.0399337971e-01	1.5194592364e-01	-4.9587221211e-02
11	-5.0258379737e-02	3.2530863753e-02	-8.2789243490e-02	5.6547837385e-02	6.4476956557e-19	-6.5191466574e-02	1.4415013405e-01	-7.3349687556e-02
12	-2.8814353458e-02	4.1116883318e-02	-6.9931236776e-02	6.7650458302e-02	7.0395342174e-19	-3.7375855931e-02	1.3881015012e-01	-8.7751189240e-02
13	-2.0160502359e-02	4.4596006996e-02	-6.4756509355e-02	7.1400374098e-02	7.0964336587e-19	-2.6150718000e-02	1.3669064544e-01	-9.2615303673e-02
14	-1.4362338823e-02	4.7108119497e-02	-6.1470458321e-02	7.2496877125e-02	7.5914723460e-19	-1.8629767538e-02	1.3572322227e-01	-9.4037606596e-02
15	-1.2768097781e-02	4.7701368318e-02	-6.0469466099e-02	7.2562332539e-02	8.0546684720e-19	-1.6561835540e-02	1.3521354302e-01	-9.4122510535e-02
16	-1.0549594701e-02	4.8345437723e-02	-5.8895032424e-02	7.2504647511e-02	8.0550297032e-19	-1.3684156829e-02	1.3405058768e-01	-9.4047685768e-02
17	-5.0901779543e-03	5.0204443698e-02	-5.5294621652e-02	7.3556016637e-02	8.0839215571e-19	-6.6026037389e-03	1.3187383169e-01	-9.5411444321e-02
18	1.7628732190e-03	5.2703858172e-02	-5.0940984953e-02	7.5412159553e-02	8.1210075676e-19	2.2866692307e-03	1.2955605391e-01	-9.7819096130e-02
19	9.0284570337e-03	5.5258798837e-02	-4.6230341804e-02	7.7820565370e-02	8.1657221537e-19	1.1711049143e-02	1.2686142580e-01	-1.0094310268e-01
20	1.4894306639e-02	5.7255592900e-02	-4.2361286261e-02	7.9502876708e-02	8.1909064613e-19	1.9319796986e-02	1.2452109895e-01	-1.0312527297e-01
21	1.4984183578e-02	5.6870807504e-02	-4.1886623926e-02	7.9302485095e-02	8.2372910436e-19	1.9436378730e-02	1.2344678929e-01	-1.0286533974e-01
22	1.9045129098e-02	5.8159199224e-02	-3.9114070126e-02	8.0290759955e-02	8.3044389238e-19	2.4703938000e-02	1.2159158669e-01	-1.0414725706e-01
23	2.5888286831e-02	6.0565709347e-02	-3.4677422516e-02	8.2454092892e-02	8.4099699639e-19	3.3580377928e-02	1.1905391483e-01	-1.0695337313e-01
24	3.3113503009e-02	6.3159873837e-02	-3.0046370828e-02	8.5045733986e-02	8.4287264877e-19	4.2952395916e-02	1.1650780583e-01	-1.1031505897e-01
25	4.0811625539e-02	6.5938913032e-02	-2.5127287493e-02	8.8024457556e-02	8.4814182602e-19	5.2937833176e-02	1.1383275066e-01	-1.1417883968e-01
