# y+ ()          
# Time           	patch            	min              	max              	average          
1                	Bottom	2.1710646606e+01	1.6935597925e+02	8.6553633400e+01
1                	Top	1.2762618847e+01	1.7678230507e+02	8.3138542028e+01
1                	e423_0	1.8519091477e+00	1.5666966984e+02	1.0347991831e+01
2                	Bottom	1.0035943444e+01	1.6232519332e+02	8.6466346322e+01
2                	Top	3.4508451522e+00	1.5721664226e+02	7.8160221705e+01
2                	e423_0	4.2773701266e-01	1.5138061313e+02	9.4228148765e+00
3                	Bottom	1.7669436606e+01	1.5709986711e+02	8.5607949513e+01
3                	Top	1.2199275892e+01	1.4197414691e+02	7.6830530213e+01
3                	e423_0	1.2314931891e+00	1.2929467198e+02	8.6295113861e+00
4                	Bottom	2.4340452094e+01	1.5349266321e+02	8.5489550082e+01
4                	Top	6.2193299860e+00	1.3772068934e+02	7.4775837950e+01
4                	e423_0	1.1297667221e+00	1.2523882339e+02	7.7467984179e+00
5                	Bottom	2.3653923720e+01	1.4963834348e+02	8.5393906610e+01
5                	Top	7.6128649126e+00	1.3716845303e+02	7.3690759813e+01
5                	e423_0	7.2131486650e-01	1.1896016610e+02	7.1601960077e+00
6                	Bottom	1.4847148672e+01	1.5045510293e+02	8.3782655460e+01
6                	Top	9.5698851009e+00	1.3378130419e+02	7.1818983074e+01
6                	e423_0	9.7900397056e-01	1.1696687943e+02	6.6762303213e+00
7                	Bottom	1.7772775268e+01	1.4245998463e+02	8.1330084968e+01
7                	Top	1.0873417422e+01	1.2814450369e+02	6.9303172815e+01
7                	e423_0	4.5944988100e-01	1.1596830548e+02	6.3430005389e+00
8                	Bottom	1.6921077934e+01	1.3803409954e+02	7.7777090917e+01
8                	Top	8.9494844782e+00	1.2123676448e+02	6.5960637689e+01
8                	e423_0	9.8484003062e-01	1.1471922489e+02	6.0266869567e+00
9                	Bottom	1.6519681285e+01	1.2867004233e+02	7.3573532283e+01
9                	Top	7.4044702511e+00	1.1390042302e+02	6.2403458214e+01
9                	e423_0	7.2950536363e-01	1.1427566922e+02	5.7955409371e+00
10               	Bottom	1.3315544423e+01	1.1688853350e+02	6.9008613024e+01
10               	Top	1.1073818528e+01	1.0652889868e+02	5.9106746499e+01
10               	e423_0	1.7029963437e-01	1.1362084884e+02	5.6274783202e+00
11               	Bottom	5.6379274208e+00	1.0947556887e+02	6.4437797910e+01
11               	Top	1.1203333234e+01	9.9565585051e+01	5.5931525777e+01
11               	e423_0	7.4634481895e-01	1.1296696357e+02	5.5391155328e+00
12               	Bottom	1.4830016120e+01	1.0062173502e+02	6.0345725771e+01
12               	Top	1.1262630134e+01	9.3314037034e+01	5.2694585785e+01
12               	e423_0	1.0597936094e+00	1.1213911595e+02	5.4738499552e+00
13               	Bottom	1.5335057198e+01	9.1240309722e+01	5.6249962361e+01
13               	Top	1.1270047013e+01	8.8596634704e+01	4.9157568038e+01
13               	e423_0	4.8654155578e-01	1.1095349528e+02	5.4024706775e+00
14               	Bottom	1.5087793328e+01	8.0601041098e+01	5.2177595426e+01
14               	Top	5.3921360944e+00	8.4475199136e+01	4.5393038304e+01
14               	e423_0	7.5269842426e-01	1.0979950437e+02	5.3482943510e+00
15               	Bottom	1.4865630130e+01	7.1148846165e+01	4.8149120059e+01
15               	Top	3.5604321289e+00	8.0569918118e+01	4.1750401259e+01
15               	e423_0	3.4347843430e-01	1.0873321932e+02	5.3119688969e+00
16               	Bottom	2.9720850067e+00	6.3792932587e+01	4.4082187610e+01
16               	Top	7.8377848217e+00	7.7814441229e+01	3.9676102120e+01
16               	e423_0	1.9120229125e-01	1.0778575898e+02	5.2621909321e+00
17               	Bottom	1.2938154158e+01	5.8451143280e+01	4.0559713408e+01
17               	Top	4.4023012250e+00	7.5541223419e+01	3.7810470481e+01
17               	e423_0	2.9454127321e-01	1.0710718555e+02	5.2299573632e+00
18               	Bottom	9.7173113070e+00	5.4188761800e+01	3.6660281822e+01
18               	Top	4.5058842694e+00	7.3479158230e+01	3.6277420043e+01
18               	e423_0	3.2179276685e-01	1.0673416254e+02	5.1812638250e+00
19               	Bottom	6.2774383090e+00	5.0648838673e+01	3.3711754579e+01
19               	Top	3.2513300985e+00	7.1410069438e+01	3.4976019113e+01
