# Force          
# CofR           : ( 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 )
#                
# Time           	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
1                	( 1.4120336611e+02 -6.9746994652e-15 -3.2816669081e+00 )	( 1.4064285507e+02 -6.9864175314e-15 -3.2791400991e+00 )	( 5.6051103572e-01 1.1718066146e-17 -2.5268089235e-03 )
2                	( 8.7071904559e+00 -4.2448147073e-16 -6.8499784985e+00 )	( 8.5616180165e+00 -2.9846029048e-16 -6.8589951279e+00 )	( 1.4557243940e-01 -1.2602118025e-16 9.0166293537e-03 )
3                	( 1.0771019248e+00 -1.6360420562e-16 -4.9126190646e+00 )	( 9.2812635070e-01 -1.7850620067e-16 -4.9423305048e+00 )	( 1.4897557414e-01 1.4901995045e-17 2.9711440185e-02 )
4                	( -5.7791662623e-02 -1.1024729947e-16 -4.5846352769e+00 )	( -1.7827467751e-01 -1.0885128684e-16 -4.5952060537e+00 )	( 1.2048301488e-01 -1.3960126264e-18 1.0570776741e-02 )
5                	( -4.5431079211e-02 -4.1877370796e-17 -3.7287414486e+00 )	( -1.7145528814e-01 -4.3143512568e-17 -3.7293725145e+00 )	( 1.2602420893e-01 1.2661417724e-18 6.3106584075e-04 )
6                	( 1.5580669355e-01 -5.9274799671e-18 -3.8161557684e+00 )	( 3.9771217150e-02 -5.0881036844e-18 -3.8133772895e+00 )	( 1.1603547640e-01 -8.3937628268e-19 -2.7784788608e-03 )
7                	( 2.2520396915e-01 1.1854381395e-17 -4.1096131036e+00 )	( 1.1226831180e-01 1.0692075448e-17 -4.1059650151e+00 )	( 1.1293565735e-01 1.1623059463e-18 -3.6480884524e-03 )
8                	( 3.1574964881e-01 2.1616992955e-17 -4.1699461903e+00 )	( 2.1066495990e-01 2.0908293100e-17 -4.1653527456e+00 )	( 1.0508468891e-01 7.0869985427e-19 -4.5934447189e-03 )
9                	( 4.2107855483e-01 3.3298661654e-17 -3.9727011472e+00 )	( 3.2037016289e-01 2.9039338947e-17 -3.9686831263e+00 )	( 1.0070839194e-01 4.2593227064e-18 -4.0180208845e-03 )
10               	( 5.0481797137e-01 2.8356958434e-17 -3.8653590135e+00 )	( 4.1005784230e-01 3.2359643573e-17 -3.8627617849e+00 )	( 9.4760129063e-02 -4.0026851393e-18 -2.5972285917e-03 )
11               	( 5.7726606625e-01 3.6090535076e-17 -3.7866155132e+00 )	( 4.8551699280e-01 3.4776502581e-17 -3.7864203605e+00 )	( 9.1749073457e-02 1.3140324958e-18 -1.9515274531e-04 )
12               	( 6.2218192629e-01 3.7182922948e-17 -3.7385178749e+00 )	( 5.3393045838e-01 3.7746306384e-17 -3.7406452540e+00 )	( 8.8251467910e-02 -5.6338343687e-19 2.1273790550e-03 )
13               	( 6.3822032666e-01 4.0045861295e-17 -3.7050912479e+00 )	( 5.5255670146e-01 4.0399881401e-17 -3.7085032312e+00 )	( 8.5663625205e-02 -3.5402010541e-19 3.4119833034e-03 )
14               	( 6.4939984777e-01 4.1389716044e-17 -3.6638668626e+00 )	( 5.6706278370e-01 4.1780725236e-17 -3.6675425187e+00 )	( 8.2337064067e-02 -3.9100919213e-19 3.6756560714e-03 )
15               	( 6.5396245835e-01 4.2049217028e-17 -3.6605778634e+00 )	( 5.7364170121e-01 4.2455885297e-17 -3.6642687126e+00 )	( 8.0320757138e-02 -4.0666826905e-19 3.6908492633e-03 )
16               	( 6.5945341980e-01 4.1877649622e-17 -3.6630320285e+00 )	( 5.8176326114e-01 4.2304808469e-17 -3.6665479769e+00 )	( 7.7690158656e-02 -4.2715884772e-19 3.5159483076e-03 )
