# y+ ()          
# Time           	patch            	min              	max              	average          
1                	Bottom	3.5114896912e+00	1.6847560091e+02	7.7307248253e+01
1                	Top	1.4310133309e+01	1.7335834883e+02	7.9598979835e+01
1                	e423_0	2.9745127365e+00	2.0504385168e+02	1.0331893121e+01
2                	Bottom	8.9769703876e-01	1.5486155728e+02	7.2828396462e+01
2                	Top	1.4153912456e+01	1.6115525851e+02	7.8961540654e+01
2                	e423_0	2.1834887231e+00	1.8184445709e+02	1.0269432324e+01
3                	Bottom	6.4404162724e+00	1.4324685140e+02	7.2859018287e+01
3                	Top	7.2745190343e+00	1.5200575143e+02	7.9953760964e+01
3                	e423_0	1.5806604818e+00	1.7429650635e+02	9.2669179501e+00
4                	Bottom	9.2278540851e+00	1.3369852484e+02	7.3841734366e+01
4                	Top	2.0440320568e+01	1.4762807222e+02	8.0985606454e+01
4                	e423_0	7.3886439436e-01	1.6546261895e+02	8.2717656870e+00
5                	Bottom	5.3526179993e+00	1.3146488937e+02	7.3534851543e+01
5                	Top	2.0220085934e+01	1.4441230468e+02	8.1533800195e+01
5                	e423_0	8.4371951669e-01	1.5795987193e+02	7.6448760278e+00
6                	Bottom	5.9969129424e+00	1.2954924945e+02	7.1522858245e+01
6                	Top	1.7903415100e+01	1.4698099181e+02	8.1985175305e+01
6                	e423_0	1.5662822389e+00	1.5400663135e+02	7.1005309032e+00
7                	Bottom	9.3660105681e+00	1.2565021263e+02	6.9366559792e+01
7                	Top	1.2095066574e+01	1.4259324034e+02	8.1016936035e+01
7                	e423_0	6.8742399748e-01	1.5188261012e+02	6.7320546095e+00
8                	Bottom	1.1248333741e+01	1.2027227961e+02	6.5082323345e+01
8                	Top	1.6606640194e+01	1.4303672819e+02	8.0232554393e+01
8                	e423_0	6.4503260208e-01	1.5049178178e+02	6.4047991129e+00
9                	Bottom	1.2135453661e+01	1.1400483250e+02	6.1028223183e+01
9                	Top	1.6556656847e+01	1.3781293267e+02	7.8926933995e+01
9                	e423_0	1.5794937614e+00	1.4939078388e+02	6.1845875738e+00
10               	Bottom	1.1784977726e+01	1.0730372877e+02	5.5570505906e+01
10               	Top	1.6619490749e+01	1.3185041742e+02	7.7321877314e+01
10               	e423_0	9.4864685121e-01	1.4851261376e+02	5.9549957346e+00
11               	Bottom	1.1397301911e+01	1.0057680763e+02	4.9156835697e+01
11               	Top	1.6647806530e+01	1.2683472256e+02	7.5601537438e+01
11               	e423_0	5.4578682733e-01	1.4779363886e+02	5.8198490542e+00
12               	Bottom	1.1013117691e+01	9.4012000154e+01	4.7748441897e+01
12               	Top	1.6661248967e+01	1.2338771334e+02	7.3864989342e+01
12               	e423_0	3.5263106593e-01	1.4707555102e+02	5.7178012506e+00
13               	Bottom	5.7441003039e+00	8.7496869063e+01	4.7729138570e+01
13               	Top	1.6699836285e+01	1.1672666806e+02	7.2189749064e+01
13               	e423_0	2.9395710900e-01	1.4627493269e+02	5.6554453458e+00
14               	Bottom	1.0375633350e+01	8.1096231592e+01	4.7467586687e+01
14               	Top	1.6760880132e+01	1.1110430012e+02	7.0583989256e+01
14               	e423_0	4.5732248777e-01	1.4543634737e+02	5.5651703861e+00
15               	Bottom	1.0064606724e+01	7.5004805335e+01	4.6918300505e+01
15               	Top	1.6824812554e+01	1.0528249398e+02	6.9033113044e+01
15               	e423_0	1.5500267971e-02	1.4467026364e+02	5.4943322045e+00
16               	Bottom	8.4338595026e+00	7.5614507106e+01	4.6012324121e+01
16               	Top	1.6923837836e+01	9.9365156677e+01	6.7499343355e+01
16               	e423_0	8.0246992994e-01	1.4400624718e+02	5.4355223339e+00
17               	Bottom	9.5286035936e+00	7.8822283192e+01	4.5329234794e+01
17               	Top	1.7033108559e+01	9.4243985159e+01	6.5943328295e+01
17               	e423_0	3.2458050448e-01	1.4344711568e+02	5.3833216364e+00
18               	Bottom	7.6529134358e+00	8.0039581915e+01	4.4600662853e+01
18               	Top	1.3159104608e+01	8.9191512851e+01	6.4271185205e+01
18               	e423_0	3.8523669092e-01	1.4298654062e+02	5.3191394386e+00
19               	Bottom	4.5861325727e+00	8.0432412844e+01	4.3713094447e+01
19               	Top	1.5589892711e+01	8.4421790666e+01	6.2848536657e+01
19               	e423_0	3.1815058864e-01	1.4261437711e+02	5.2979633211e+00
20               	Bottom	6.8449130363e+00	7.9954415930e+01	4.3033084308e+01
20               	Top	1.7380463539e+01	8.3887070036e+01	6.1488680025e+01
20               	e423_0	4.4520835629e-01	1.4231880710e+02	5.2606149771e+00
21               	Bottom	6.0953356603e+00	7.9285731023e+01	4.2180009054e+01
21               	Top	6.9532112944e+00	8.3944599923e+01	5.9788676888e+01
21               	e423_0	3.2119351014e-01	1.4208672334e+02	5.2316047214e+00
22               	Bottom	2.3435523637e+00	7.8670880414e+01	4.1807663908e+01
22               	Top	1.7660718936e+01	8.3765747211e+01	5.8650733048e+01
22               	e423_0	2.8674544899e-01	1.4190281531e+02	5.1971579504e+00
23               	Bottom	3.3015687932e+00	7.8023554237e+01	4.2240788380e+01
23               	Top	1.2793525835e+01	8.3228351842e+01	5.7202024980e+01
