# Time           	totalLift        	frontLift        	rearLift         	drag             	side             	Xmoment          	Ymoment          	Zmoment          
1	2.9853848582e+00	4.4615968946e-01	2.5392251687e+00	1.4502476815e+00	0.0000000000e+00	3.3585580989e-01	1.6315287065e-01	-1.3081659245e+00
2	2.9172424528e-01	5.2952440973e-02	2.3877180430e-01	1.2387808985e-01	0.0000000000e+00	3.2818978898e-02	1.3936285662e-02	-1.1613710208e-01
3	1.0731917339e-01	2.4105277751e-02	8.3213895637e-02	3.6609935073e-02	0.0000000000e+00	1.2073407486e-02	4.1186178594e-03	-3.6942886178e-02
4	1.0589095435e-01	2.2963374290e-02	8.2927580062e-02	3.6203448269e-02	0.0000000000e+00	1.1912732838e-02	4.0728880921e-03	-3.7477628608e-02
5	1.1327566090e-01	2.3552847704e-02	8.9722813195e-02	3.9363923492e-02	0.0000000000e+00	1.2743512358e-02	4.4284415688e-03	-4.1356228432e-02
6	1.1766874312e-01	2.4083272042e-02	9.3585471073e-02	4.0964327074e-02	0.0000000000e+00	1.3237734126e-02	4.6084869789e-03	-4.3438874394e-02
7	1.2170547447e-01	2.4613812007e-02	9.7091662460e-02	4.2538960067e-02	0.0000000000e+00	1.3691866422e-02	4.7856331977e-03	-4.5298656533e-02
8	1.2492685563e-01	2.5051772610e-02	9.9875083020e-02	4.3772030690e-02	0.0000000000e+00	1.4054271817e-02	4.9243536483e-03	-4.6764569006e-02
9	1.2743462025e-01	2.5402591160e-02	1.0203202909e-01	4.4686733964e-02	0.0000000000e+00	1.4336395348e-02	5.0272577707e-03	-4.7893398705e-02
10	1.2917514314e-01	2.5664411068e-02	1.0351073207e-01	4.5250952497e-02	0.0000000000e+00	1.4532204181e-02	5.0907323582e-03	-4.8653950628e-02
11	1.3028768807e-01	2.5864835629e-02	1.0442285244e-01	4.5499831488e-02	0.0000000000e+00	1.4657365490e-02	5.1187312458e-03	-4.9098760508e-02
12	1.3080476455e-01	2.6014131786e-02	1.0479063276e-01	4.5436911652e-02	0.0000000000e+00	1.4715536596e-02	5.1116527640e-03	-4.9235313108e-02
13	1.3091149781e-01	2.6126902833e-02	1.0478459498e-01	4.5166737884e-02	0.0000000000e+00	1.4727544089e-02	5.0812582138e-03	-4.9161057592e-02
14	1.3075581232e-01	2.6223922132e-02	1.0453189019e-01	4.4772872961e-02	0.0000000000e+00	1.4710029470e-02	5.0369484082e-03	-4.8942480034e-02
15	1.3045995903e-01	2.6312707457e-02	1.0414725158e-01	4.4314511693e-02	0.0000000000e+00	1.4676745974e-02	4.9853827636e-03	-4.8646590074e-02
16	1.3005670029e-01	2.6391061199e-02	1.0366563909e-01	4.3821739247e-02	0.0000000000e+00	1.4631379364e-02	4.9299458612e-03	-4.8296611181e-02
17	1.2959153213e-01	2.6461446627e-02	1.0313008550e-01	4.3312525928e-02	0.0000000000e+00	1.4579047944e-02	4.8726593605e-03	-4.7917899297e-02
18	1.2904107686e-01	2.6523436455e-02	1.0251764041e-01	4.2768343277e-02	0.0000000000e+00	1.4517121724e-02	4.8114388099e-03	-4.7496377469e-02
19	1.2850312005e-01	2.6590144379e-02	1.0191297567e-01	4.2235539924e-02	0.0000000000e+00	1.4456601580e-02	4.7514984303e-03	-4.7076769555e-02
20	1.2792772101e-01	2.6651852119e-02	1.0127586889e-01	4.1697686683e-02	0.0000000000e+00	1.4391869185e-02	4.6909899383e-03	-4.6640010482e-02
21	1.2735047527e-01	2.6713697749e-02	1.0063677752e-01	4.1169829380e-02	0.0000000000e+00	1.4326929037e-02	4.6316059893e-03	-4.6201924856e-02
22	1.2676681107e-01	2.6773236935e-02	9.9993574132e-02	4.0648292478e-02	0.0000000000e+00	1.4261266812e-02	4.5729330854e-03	-4.5762710749e-02
23	1.2620663841e-01	2.6833572092e-02	9.9373066320e-02	4.0149063700e-02	0.0000000000e+00	1.4198247386e-02	4.5167698457e-03	-4.5337183892e-02
24	1.2567182849e-01	2.6894128105e-02	9.8777700383e-02	3.9670900091e-02	0.0000000000e+00	1.4138081267e-02	4.4629764376e-03	-4.4927232674e-02
25	1.2520112711e-01	2.6959653200e-02	9.8241473906e-02	3.9229440507e-02	0.0000000000e+00	1.4085127359e-02	4.4133122324e-03	-4.4551137941e-02
