# Force          
# CofR           : ( 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 )
#                
# Time           	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
1                	( 1.2930016932e+02 -3.3855827540e+02 0.0000000000e+00 )	( 1.2830042495e+02 -3.3871258135e+02 0.0000000000e+00 )	( 9.9974437553e-01 1.5430594582e-01 0.0000000000e+00 )
2                	( 1.0980958483e+01 -3.5262517161e+01 0.0000000000e+00 )	( 1.0467088163e+01 -3.5343881477e+01 0.0000000000e+00 )	( 5.1387031992e-01 8.1364316569e-02 0.0000000000e+00 )
3                	( 3.3745475030e+00 -1.4231365965e+01 0.0000000000e+00 )	( 3.0628214395e+00 -1.4282119708e+01 0.0000000000e+00 )	( 3.1172606349e-01 5.0753743010e-02 0.0000000000e+00 )
4                	( 3.0683774127e+00 -1.3725646674e+01 0.0000000000e+00 )	( 2.8446988472e+00 -1.3762519428e+01 0.0000000000e+00 )	( 2.2367856550e-01 3.6872754483e-02 0.0000000000e+00 )
5                	( 3.1522087360e+00 -1.4281551597e+01 0.0000000000e+00 )	( 2.9720210413e+00 -1.4311326496e+01 0.0000000000e+00 )	( 1.8018769468e-01 2.9774899098e-02 0.0000000000e+00 )
6                	( 3.2050038491e+00 -1.4688093789e+01 0.0000000000e+00 )	( 3.0498557158e+00 -1.4713605595e+01 0.0000000000e+00 )	( 1.5514813321e-01 2.5511806149e-02 0.0000000000e+00 )
7                	( 3.2783458024e+00 -1.5107906199e+01 0.0000000000e+00 )	( 3.1389308442e+00 -1.5130599536e+01 0.0000000000e+00 )	( 1.3941495819e-01 2.2693336084e-02 0.0000000000e+00 )
8                	( 3.3303838454e+00 -1.5433554733e+01 0.0000000000e+00 )	( 3.2017395740e+00 -1.5454247051e+01 0.0000000000e+00 )	( 1.2864427134e-01 2.0692317400e-02 0.0000000000e+00 )
9                	( 3.3620341363e+00 -1.5672560423e+01 0.0000000000e+00 )	( 3.2408308184e+00 -1.5691814349e+01 0.0000000000e+00 )	( 1.2120331792e-01 1.9253926810e-02 0.0000000000e+00 )
10               	( 3.3734861166e+00 -1.5830007239e+01 0.0000000000e+00 )	( 3.2577892233e+00 -1.5848146390e+01 0.0000000000e+00 )	( 1.1569689333e-01 1.8139150689e-02 0.0000000000e+00 )
11               	( 3.3690472089e+00 -1.5924190726e+01 0.0000000000e+00 )	( 3.2572974205e+00 -1.5941473226e+01 0.0000000000e+00 )	( 1.1174978833e-01 1.7282500062e-02 0.0000000000e+00 )
12               	( 3.3502183872e+00 -1.5962611889e+01 0.0000000000e+00 )	( 3.2415606001e+00 -1.5979185547e+01 0.0000000000e+00 )	( 1.0865778714e-01 1.6573658126e-02 0.0000000000e+00 )
13               	( 3.3212849000e+00 -1.5963082434e+01 0.0000000000e+00 )	( 3.2148755865e+00 -1.5979077524e+01 0.0000000000e+00 )	( 1.0640931348e-01 1.5995090248e-02 0.0000000000e+00 )
14               	( 3.2896850251e+00 -1.5950242933e+01 0.0000000000e+00 )	( 3.1851176852e+00 -1.5965719407e+01 0.0000000000e+00 )	( 1.0456733990e-01 1.5476473809e-02 0.0000000000e+00 )
15               	( 3.2568967227e+00 -1.5929749261e+01 0.0000000000e+00 )	( 3.1536592018e+00 -1.5944775724e+01 0.0000000000e+00 )	( 1.0323752084e-01 1.5026462562e-02 0.0000000000e+00 )
16               	( 3.2229624002e+00 -1.5904797102e+01 0.0000000000e+00 )	( 3.1208769440e+00 -1.5919395846e+01 0.0000000000e+00 )	( 1.0208545620e-01 1.4598743978e-02 0.0000000000e+00 )
17               	( 3.1884700167e+00 -1.5876400773e+01 0.0000000000e+00 )	( 3.0871923309e+00 -1.5890612892e+01 0.0000000000e+00 )	( 1.0127768584e-01 1.4212118617e-02 0.0000000000e+00 )
18               	( 3.1532950815e+00 -1.5843005259e+01 0.0000000000e+00 )	( 3.0527629903e+00 -1.5856837070e+01 0.0000000000e+00 )	( 1.0053209119e-01 1.3831811206e-02 0.0000000000e+00 )
19               	( 3.1201362631e+00 -1.5815222416e+01 0.0000000000e+00 )	( 3.0200989965e+00 -1.5828702680e+01 0.0000000000e+00 )	( 1.0003726664e-01 1.3480263569e-02 0.0000000000e+00 )
20               	( 3.0876691974e+00 -1.5787557414e+01 0.0000000000e+00 )	( 2.9881301987e+00 -1.5800684087e+01 0.0000000000e+00 )	( 9.9538998756e-02 1.3126673590e-02 0.0000000000e+00 )
21               	( 3.0571062320e+00 -1.5763251146e+01 0.0000000000e+00 )	( 2.9578658284e+00 -1.5776044366e+01 0.0000000000e+00 )	( 9.9240403650e-02 1.2793219708e-02 0.0000000000e+00 )
