# Moment         
# CofR           : ( 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 )
#                
# Time           	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
1                	( 3.0470245997e+01 1.1637015702e+01 -8.7658087896e+01 )	( 3.0484133533e+01 1.1547038704e+01 -8.7707673730e+01 )	( -1.3887535676e-02 8.9976997373e-02 4.9585834293e-02 )
2                	( 3.1736266706e+00 9.8828630272e-01 -8.1758616350e+00 )	( 3.1809494593e+00 9.4203797209e-01 -8.2024938391e+00 )	( -7.3227887822e-03 4.6248330631e-02 2.6632204120e-02 )
3                	( 1.2808229877e+00 3.0370928733e-01 -2.9138892173e+00 )	( 1.2853908248e+00 2.7565394051e-01 -2.9306515269e+00 )	( -4.5678370524e-03 2.8055346829e-02 1.6762309653e-02 )
4                	( 1.2353082497e+00 2.7615397811e-01 -2.8039100916e+00 )	( 1.2386267978e+00 2.5602290642e-01 -2.8162660905e+00 )	( -3.3185480353e-03 2.0131071695e-02 1.2355998872e-02 )
5                	( 1.2853396948e+00 2.8369879751e-01 -2.9396255811e+00 )	( 1.2880194358e+00 2.6748190435e-01 -2.9497760195e+00 )	( -2.6797410253e-03 1.6216893166e-02 1.0150438446e-02 )
6                	( 1.3219284935e+00 2.8845035788e-01 -3.0317087678e+00 )	( 1.3242245562e+00 2.7448702533e-01 -3.0405792389e+00 )	( -2.2960626447e-03 1.3963332544e-02 8.8704711694e-03 )
7                	( 1.3597116120e+00 2.9505113394e-01 -3.1293830258e+00 )	( 1.3617540123e+00 2.8250378721e-01 -3.1374498834e+00 )	( -2.0424003287e-03 1.2547346735e-02 8.0668575998e-03 )
8                	( 1.3890199812e+00 2.9973455799e-01 -3.2004047093e+00 )	( 1.3908822898e+00 2.8815657311e-01 -3.2079319582e+00 )	( -1.8623086400e-03 1.1577984881e-02 7.5272488536e-03 )
9                	( 1.4105304941e+00 3.0258308429e-01 -3.2480856666e+00 )	( 1.4122633476e+00 2.9167478525e-01 -3.2552558676e+00 )	( -1.7328534817e-03 1.0908299046e-02 7.1702009183e-03 )
10               	( 1.4247007081e+00 3.0361376256e-01 -3.2747699040e+00 )	( 1.4263332318e+00 2.9320104175e-01 -3.2816842845e+00 )	( -1.6325236268e-03 1.0412720813e-02 6.9143805695e-03 )
11               	( 1.4331772223e+00 3.0321426085e-01 -3.2852790647e+00 )	( 1.4347326474e+00 2.9315677950e-01 -3.2920222530e+00 )	( -1.5554250674e-03 1.0057481350e-02 6.7431882989e-03 )
12               	( 1.4366351271e+00 3.0151966683e-01 -3.2813142114e+00 )	( 1.4381267563e+00 2.9174046560e-01 -3.2879317173e+00 )	( -1.4916292906e-03 9.7792012311e-03 6.6175059573e-03 )
13               	( 1.4366774762e+00 2.9891565288e-01 -3.2673689976e+00 )	( 1.4381170343e+00 2.8933881428e-01 -3.2739038086e+00 )	( -1.4395581795e-03 9.5768385936e-03 6.5348109639e-03 )
14               	( 1.4355219210e+00 2.9607166402e-01 -3.2507075008e+00 )	( 1.4369148037e+00 2.8666060305e-01 -3.2571751287e+00 )	( -1.3928826981e-03 9.4110609654e-03 6.4676279078e-03 )
15               	( 1.4336774905e+00 2.9312071669e-01 -3.2325555904e+00 )	( 1.4350298722e+00 2.8382933944e-01 -3.2389797541e+00 )	( -1.3523816843e-03 9.2913772447e-03 6.4241637217e-03 )
16               	( 1.4314317960e+00 2.9006662754e-01 -3.2137030189e+00 )	( 1.4327456831e+00 2.8087893612e-01 -3.2200875836e+00 )	( -1.3138870103e-03 9.1876914228e-03 6.3845646218e-03 )
