# Force          
# CofR           : ( 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 )
#                
# Time           	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
1                	( 2.4281215909e+02 -4.9983720188e+02 0.0000000000e+00 )	( 2.4137995874e+02 -5.0012804515e+02 0.0000000000e+00 )	( 1.4322003493e+00 2.9084326958e-01 0.0000000000e+00 )
2                	( 2.0740668538e+01 -4.8842825098e+01 0.0000000000e+00 )	( 1.9988215706e+01 -4.8997769393e+01 0.0000000000e+00 )	( 7.5245283200e-01 1.5494429530e-01 0.0000000000e+00 )
3                	( 6.1295304883e+00 -1.7968241243e+01 0.0000000000e+00 )	( 5.6712533937e+00 -1.8071904797e+01 0.0000000000e+00 )	( 4.5827709465e-01 1.0366355443e-01 0.0000000000e+00 )
4                	( 6.0614731904e+00 -1.7729117297e+01 0.0000000000e+00 )	( 5.7319457617e+00 -1.7808663103e+01 0.0000000000e+00 )	( 3.2952742869e-01 7.9545805898e-02 0.0000000000e+00 )
5                	( 6.5906254327e+00 -1.8965524404e+01 0.0000000000e+00 )	( 6.3238865997e+00 -1.9032356310e+01 0.0000000000e+00 )	( 2.6673883302e-01 6.6831905980e-02 0.0000000000e+00 )
6                	( 6.8585779033e+00 -1.9701049647e+01 0.0000000000e+00 )	( 6.6276507503e+00 -1.9760090137e+01 0.0000000000e+00 )	( 2.3092715300e-01 5.9040489881e-02 0.0000000000e+00 )
7                	( 7.1222156542e+00 -2.0376911755e+01 0.0000000000e+00 )	( 6.9136060260e+00 -2.0430821332e+01 0.0000000000e+00 )	( 2.0860962820e-01 5.3909577036e-02 0.0000000000e+00 )
8                	( 7.3286662792e+00 -2.0916261361e+01 0.0000000000e+00 )	( 7.1353044533e+00 -2.0966514589e+01 0.0000000000e+00 )	( 1.9336182592e-01 5.0253227957e-02 0.0000000000e+00 )
9                	( 7.4818132758e+00 -2.1336131532e+01 0.0000000000e+00 )	( 7.2988964809e+00 -2.1383838078e+01 0.0000000000e+00 )	( 1.8291679491e-01 4.7706545833e-02 0.0000000000e+00 )
10               	( 7.5762792916e+00 -2.1627543907e+01 0.0000000000e+00 )	( 7.4010336679e+00 -2.1673331863e+01 0.0000000000e+00 )	( 1.7524562367e-01 4.5787955702e-02 0.0000000000e+00 )
11               	( 7.6179486187e+00 -2.1813815149e+01 0.0000000000e+00 )	( 7.4480940870e+00 -2.1858205839e+01 0.0000000000e+00 )	( 1.6985453172e-01 4.4390690606e-02 0.0000000000e+00 )
12               	( 7.6074140725e+00 -2.1900388261e+01 0.0000000000e+00 )	( 7.4417166055e+00 -2.1943644456e+01 0.0000000000e+00 )	( 1.6569746698e-01 4.3256195569e-02 0.0000000000e+00 )
13               	( 7.5621794020e+00 -2.1918258405e+01 0.0000000000e+00 )	( 7.3993724356e+00 -2.1960658501e+01 0.0000000000e+00 )	( 1.6280696641e-01 4.2400095728e-02 0.0000000000e+00 )
14               	( 7.4962353612e+00 -2.1892192285e+01 0.0000000000e+00 )	( 7.3357217740e+00 -2.1933853933e+01 0.0000000000e+00 )	( 1.6051358719e-01 4.1661648205e-02 0.0000000000e+00 )
15               	( 7.4194928224e+00 -2.1842658142e+01 0.0000000000e+00 )	( 7.2604762836e+00 -2.1883757301e+01 0.0000000000e+00 )	( 1.5901653877e-01 4.1099159461e-02 0.0000000000e+00 )
16               	( 7.3369888866e+00 -2.1775141312e+01 0.0000000000e+00 )	( 7.1791984583e+00 -2.1815739366e+01 0.0000000000e+00 )	( 1.5779042822e-01 4.0598054420e-02 0.0000000000e+00 )
