# Moment         
# CofR           : ( 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 )
#                
# Time           	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
1                	( 4.4985349957e+01 2.1853095187e+01 -1.7521894868e+02 )	( 4.5011525852e+01 2.1724197150e+01 -1.7528704921e+02 )	( -2.6175895303e-02 1.2889803655e-01 6.8100527840e-02 )
2                	( 4.3958544335e+00 1.8666602426e+00 -1.5555687966e+01 )	( 4.4097994206e+00 1.7989394850e+00 -1.5591799772e+01 )	( -1.3944987131e-02 6.7720757571e-02 3.6111806625e-02 )
3                	( 1.6171417761e+00 5.5165776587e-01 -4.9482206774e+00 )	( 1.6264714964e+00 5.1041282572e-01 -4.9745899358e+00 )	( -9.3297202697e-03 4.1244940157e-02 2.6369258343e-02 )
4                	( 1.5956206201e+00 5.4553260881e-01 -5.0198453884e+00 )	( 1.6027797430e+00 5.1587513905e-01 -5.0413392884e+00 )	( -7.1591228153e-03 2.9657469761e-02 2.1493899979e-02 )
5                	( 1.7068972642e+00 5.9315631252e-01 -5.5393545507e+00 )	( 1.7129121360e+00 5.6914981659e-01 -5.5580129146e+00 )	( -6.0148717772e-03 2.4006495926e-02 1.8658363901e-02 )
6                	( 1.7730945387e+00 6.1727203583e-01 -5.8183092529e+00 )	( 1.7784081830e+00 5.9648859123e-01 -5.8351287616e+00 )	( -5.3136443005e-03 2.0783444596e-02 1.6819508622e-02 )
7                	( 1.8339221308e+00 6.4099943435e-01 -6.0674130287e+00 )	( 1.8387739930e+00 6.2222456707e-01 -6.0830019297e+00 )	( -4.8518621260e-03 1.8774867284e-02 1.5588901056e-02 )
8                	( 1.8824635973e+00 6.5957999134e-01 -6.2637609365e+00 )	( 1.8869863880e+00 6.4217742632e-01 -6.2784739847e+00 )	( -4.5227906958e-03 1.7402565024e-02 1.4713048213e-02 )
9                	( 1.9202519142e+00 6.7336322158e-01 -6.4149591518e+00 )	( 1.9245455035e+00 6.5690070938e-01 -6.4290876979e+00 )	( -4.2935892955e-03 1.6462512196e-02 1.4128546095e-02 )
10               	( 1.9464790290e+00 6.8186516334e-01 -6.5168293395e+00 )	( 1.9505999452e+00 6.6609305658e-01 -6.5305340973e+00 )	( -4.1209161769e-03 1.5772106757e-02 1.3704757796e-02 )
11               	( 1.9632434414e+00 6.8561540293e-01 -6.5764082646e+00 )	( 1.9672386037e+00 6.7032849446e-01 -6.5898252453e+00 )	( -3.9951623133e-03 1.5286908462e-02 1.3416980683e-02 )
12               	( 1.9710350218e+00 6.8466729373e-01 -6.5946984544e+00 )	( 1.9749280796e+00 6.6975452111e-01 -6.6078901788e+00 )	( -3.8930577559e-03 1.4912772620e-02 1.3191724390e-02 )
13               	( 1.9726433349e+00 6.8059617323e-01 -6.5847524887e+00 )	( 1.9764593436e+00 6.6594354567e-01 -6.5977895295e+00 )	( -3.8160087672e-03 1.4652627559e-02 1.3037040800e-02 )
14               	( 1.9702973839e+00 6.7466120931e-01 -6.5554756750e+00 )	( 1.9740469324e+00 6.6021498589e-01 -6.5683820693e+00 )	( -3.7495484875e-03 1.4446223421e-02 1.2906394303e-02 )
15               	( 1.9658393109e+00 6.6775438055e-01 -6.5158434489e+00 )	( 1.9695382354e+00 6.5344289149e-01 -6.5286648967e+00 )	( -3.6989244984e-03 1.4311489058e-02 1.2821447803e-02 )
16               	( 1.9597627960e+00 6.6032902603e-01 -6.4689664186e+00 )	( 1.9634166210e+00 6.4612788693e-01 -6.4817164359e+00 )	( -3.6538250430e-03 1.4201139104e-02 1.2750017237e-02 )
17               	( 1.9527533974e+00 6.5265593179e-01 -6.4182408211e+00 )	( 1.9563737645e+00 6.3851650253e-01 -6.4309564758e+00 )	( -3.6203671414e-03 1.4139429264e-02 1.2715654648e-02 )
18               	( 1.9444588477e+00 6.4445590126e-01 -6.3617811549e+00 )	( 1.9480474597e+00 6.3037109203e-01 -6.3744652074e+00 )	( -3.5886120377e-03 1.4084809235e-02 1.2684052510e-02 )
19               	( 1.9363526313e+00 6.3642733997e-01 -6.3055778428e+00 )	( 1.9399179303e+00 6.2236208524e-01 -6.3182582924e+00 )	( -3.5652989376e-03 1.4065254730e-02 1.2680449569e-02 )
20               	( 1.9276822159e+00 6.2832268432e-01 -6.2470772626e+00 )	( 1.9312237485e+00 6.1427918019e-01 -6.2597502405e+00 )	( -3.5415326217e-03 1.4043504124e-02 1.2672977921e-02 )
21               	( 1.9189839733e+00 6.2036865272e-01 -6.1883990007e+00 )	( 1.9225082952e+00 6.0631883915e-01 -6.2010867576e+00 )	( -3.5243218446e-03 1.4049813569e-02 1.2687756937e-02 )
22               	( 1.9101890140e+00 6.1250986023e-01 -6.1295695871e+00 )	( 1.9136946376e+00 5.9846120571e-01 -6.1422648320e+00 )	( -3.5056235923e-03 1.4048654527e-02 1.2695244858e-02 )
23               	( 1.9017480377e+00 6.0498721832e-01 -6.0725734775e+00 )	( 1.9052414309e+00 5.9091583206e-01 -6.0852997456e+00 )	( -3.4933932273e-03 1.4071386256e-02 1.2726268093e-02 )
