# Force          
# CofR           : ( 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 )
#                
# Time           	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
1                	( 1.1351198977e+02 -1.6127892648e+02 0.0000000000e+00 )	( 1.1307953380e+02 -1.6141546380e+02 0.0000000000e+00 )	( 4.3245597372e-01 1.3653732376e-01 0.0000000000e+00 )
2                	( 9.7597100555e+00 -1.3580307938e+01 0.0000000000e+00 )	( 9.5211275434e+00 -1.3653887916e+01 0.0000000000e+00 )	( 2.3858251208e-01 7.3579978734e-02 0.0000000000e+00 )
3                	( 2.7549829854e+00 -3.7368752778e+00 0.0000000000e+00 )	( 2.6084319542e+00 -3.7897850892e+00 0.0000000000e+00 )	( 1.4655103116e-01 5.2909811424e-02 0.0000000000e+00 )
4                	( 2.9930957777e+00 -4.0034706233e+00 0.0000000000e+00 )	( 2.8872469145e+00 -4.0461436747e+00 0.0000000000e+00 )	( 1.0584886319e-01 4.2673051415e-02 0.0000000000e+00 )
5                	( 3.4384166968e+00 -4.6839728073e+00 0.0000000000e+00 )	( 3.3518655584e+00 -4.7210298142e+00 0.0000000000e+00 )	( 8.6551138345e-02 3.7057006882e-02 0.0000000000e+00 )
6                	( 3.6535740543e+00 -5.0129558584e+00 0.0000000000e+00 )	( 3.5777950345e+00 -5.0464845421e+00 0.0000000000e+00 )	( 7.5779019790e-02 3.3528683732e-02 0.0000000000e+00 )
7                	( 3.8438698518e+00 -5.2690055558e+00 0.0000000000e+00 )	( 3.7746751818e+00 -5.3002217967e+00 0.0000000000e+00 )	( 6.9194670012e-02 3.1216240952e-02 0.0000000000e+00 )
8                	( 3.9982824338e+00 -5.4827066277e+00 0.0000000000e+00 )	( 3.9335648793e+00 -5.5122675383e+00 0.0000000000e+00 )	( 6.4717554578e-02 2.9560910556e-02 0.0000000000e+00 )
9                	( 4.1197791395e+00 -5.6635711091e+00 0.0000000000e+00 )	( 4.0580656625e+00 -5.6920237281e+00 0.0000000000e+00 )	( 6.1713476991e-02 2.8452619023e-02 0.0000000000e+00 )
10               	( 4.2027931749e+00 -5.7975366677e+00 0.0000000000e+00 )	( 4.1432444446e+00 -5.8251854727e+00 0.0000000000e+00 )	( 5.9548730343e-02 2.7648805013e-02 0.0000000000e+00 )
