# Moment         
# CofR           : ( 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 )
#                
# Time           	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
1                	( 1.4515103960e+01 1.0216079485e+01 -8.7560860783e+01 )	( 1.4527392319e+01 1.0177158446e+01 -8.7579375477e+01 )	( -1.2288359627e-02 3.8921039181e-02 1.8514693547e-02 )
2                	( 1.2222277629e+00 8.7837393990e-01 -7.3798263306e+00 )	( 1.2288499613e+00 8.5690151296e-01 -7.3893059331e+00 )	( -6.6221983492e-03 2.1472426941e-02 9.4796025049e-03 )
3                	( 3.3631878836e-01 2.4794847854e-01 -2.0343314601e+00 )	( 3.4108067158e-01 2.3475888521e-01 -2.0439384088e+00 )	( -4.7618832174e-03 1.3189593328e-02 9.6069486900e-03 )
4                	( 3.6031237042e-01 2.6937863070e-01 -2.2159352968e+00 )	( 3.6415294520e-01 2.5985223263e-01 -2.2250731979e+00 )	( -3.8405747800e-03 9.5263980658e-03 9.1379011070e-03 )
5                	( 4.2155756941e-01 3.0945751501e-01 -2.5997289696e+00 )	( 4.2489270016e-01 3.0166791225e-01 -2.6082368951e+00 )	( -3.3351307519e-03 7.7896027606e-03 8.5079254554e-03 )
6                	( 4.5116604518e-01 3.2882167795e-01 -2.7866004852e+00 )	( 4.5418362684e-01 3.2200156590e-01 -2.7945495226e+00 )	( -3.0175816558e-03 6.8201120521e-03 7.9490374527e-03 )
7                	( 4.7421051886e-01 3.4594830041e-01 -2.9380300028e+00 )	( 4.7701998066e-01 3.3972077986e-01 -2.9455520463e+00 )	( -2.8094617973e-03 6.2275205485e-03 7.5220434562e-03 )
8                	( 4.9344361610e-01 3.5984543334e-01 -3.0633562272e+00 )	( 4.9610409816e-01 3.5402085320e-01 -3.0705420266e+00 )	( -2.6604820558e-03 5.8245801435e-03 7.1857993591e-03 )
9                	( 5.0972142007e-01 3.7078013729e-01 -3.1668734851e+00 )	( 5.1228215589e-01 3.6522592414e-01 -3.1738318303e+00 )	( -2.5607358138e-03 5.5542131499e-03 6.9583451765e-03 )
10               	( 5.2177832083e-01 3.7825140077e-01 -3.2420594356e+00 )	( 5.2426671338e-01 3.7289201483e-01 -3.2488498128e+00 )	( -2.4883925501e-03 5.3593859438e-03 6.7903772263e-03 )
11               	( 5.3006621908e-01 3.8240114208e-01 -3.2911291999e+00 )	( 5.3250595632e-01 3.7717171497e-01 -3.2978029923e+00 )	( -2.4397372459e-03 5.2294271122e-03 6.6737923843e-03 )
12               	( 5.3439989474e-01 3.8314762690e-01 -3.3133842430e+00 )	( 5.3680132321e-01 3.7801405551e-01 -3.3199584614e+00 )	( -2.4014284652e-03 5.1335713894e-03 6.5742184328e-03 )
13               	( 5.3596585870e-01 3.8168052035e-01 -3.3173834911e+00 )	( 5.3834230929e-01 3.7660473139e-01 -3.3238857209e+00 )	( -2.3764505876e-03 5.0757889658e-03 6.5022298364e-03 )
14               	( 5.3477546286e-01 3.7858954529e-01 -3.3047681742e+00 )	( 5.3713212865e-01 3.7355438284e-01 -3.3112069406e+00 )	( -2.3566657893e-03 5.0351624557e-03 6.4387663953e-03 )
15               	( 5.3216182042e-01 3.7463366386e-01 -3.2832878585e+00 )	( 5.3450836323e-01 3.6961355204e-01 -3.2896851426e+00 )	( -2.3465428141e-03 5.0201118136e-03 6.3972840815e-03 )
16               	( 5.2833099991e-01 3.7026239848e-01 -3.2552633997e+00 )	( 5.3067093794e-01 3.6524895080e-01 -3.2616288523e+00 )	( -2.3399380328e-03 5.0134476810e-03 6.3654526151e-03 )
17               	( 5.2387727097e-01 3.6569361888e-01 -3.2238614366e+00 )	( 5.2621854739e-01 3.6066918171e-01 -3.2302170978e+00 )	( -2.3412764151e-03 5.0244371763e-03 6.3556611995e-03 )
18               	( 5.1858831773e-01 3.6065933265e-01 -3.1874915911e+00 )	( 5.2093206671e-01 3.5562241198e-01 -3.1938420737e+00 )	( -2.3437489797e-03 5.0369206688e-03 6.3504825933e-03 )
19               	( 5.1298255733e-01 3.5561506513e-01 -3.1495756535e+00 )	( 5.1533463250e-01 3.5055316476e-01 -3.1559374435e+00 )	( -2.3520751682e-03 5.0619003751e-03 6.3617900497e-03 )
20               	( 5.0680199220e-01 3.5043244551e-01 -3.1087780911e+00 )	( 5.0916212415e-01 3.4534745163e-01 -3.1151519049e+00 )	( -2.3601319517e-03 5.0849938799e-03 6.3738137453e-03 )
21               	( 5.0029131382e-01 3.4522908091e-01 -3.0664818360e+00 )	( 5.0266424585e-01 3.4011090402e-01 -3.0728807108e+00 )	( -2.3729320251e-03 5.1181768856e-03 6.3988748673e-03 )
22               	( 4.9356735635e-01 3.4004452702e-01 -3.0233244847e+00 )	( 4.9595202856e-01 3.3489695809e-01 -3.0297470135e+00 )	( -2.3846722066e-03 5.1475689287e-03 6.4225287764e-03 )
23               	( 4.8684030016e-01 3.3505498577e-01 -2.9806595407e+00 )	( 4.8924152886e-01 3.2986947922e-01 -2.9871211502e+00 )	( -2.4012287009e-03 5.1855065471e-03 6.4616094300e-03 )
24               	( 4.8019669112e-01 3.3027918311e-01 -2.9389523215e+00 )	( 4.8261313827e-01 3.2506162903e-01 -2.9454528535e+00 )	( -2.4164471569e-03 5.2175540820e-03 6.5005319866e-03 )
25               	( 4.7400110454e-01 3.2584627603e-01 -2.9000791621e+00 )	( 4.7643584000e-01 3.2059048744e-01 -2.9066272224e+00 )	( -2.4347354541e-03 5.2557885895e-03 6.5480602844e-03 )
26               	( 4.6795208470e-01 3.2165299466e-01 -2.8625228135e+00 )	( 4.7040222137e-01 3.1636668264e-01 -2.8691118599e+00 )	( -2.4501366716e-03 5.2863120183e-03 6.5890463483e-03 )
27               	( 4.6217933320e-01 3.1773221059e-01 -2.8269036621e+00 )	( 4.6464761338e-01 3.1240979946e-01 -2.8335412600e+00 )	( -2.4682801746e-03 5.3224111371e-03 6.6375979181e-03 )
28               	( 4.5676251840e-01 3.1404877167e-01 -2.7934745989e+00 )	( 4.5924592446e-01 3.0869803107e-01 -2.8001536661e+00 )	( -2.4834060615e-03 5.3507406057e-03 6.6790672417e-03 )
29               	( 4.5141125390e-01 3.1049618797e-01 -2.7607031978e+00 )	( 4.5391243517e-01 3.0511164144e-01 -2.7674309971e+00 )	( -2.5011812712e-03 5.3845465294e-03 6.7277993573e-03 )
30               	( 4.4634111397e-01 3.0710706801e-01 -2.7295919001e+00 )	( 4.4885711454e-01 3.0169676993e-01 -2.7363619234e+00 )	( -2.5160005725e-03 5.4102980817e-03 6.7700233612e-03 )
31               	( 4.4140881169e-01 3.0386841417e-01 -2.6994900983e+00 )	( 4.4394236774e-01 2.9842722767e-01 -2.7063103474e+00 )	( -2.5335560468e-03 5.4411865049e-03 6.8202491134e-03 )
32               	( 4.3668655582e-01 3.0070716367e-01 -2.6705098772e+00 )	( 4.3923452745e-01 2.9524336965e-01 -2.6773733491e+00 )	( -2.5479716380e-03 5.4637940206e-03 6.8634718591e-03 )
33               	( 4.3207836651e-01 2.9763405043e-01 -2.6422502996e+00 )	( 4.3464329952e-01 2.9214249604e-01 -2.6491642131e+00 )	( -2.5649330106e-03 5.4915543907e-03 6.9139135434e-03 )
34               	( 4.2757928540e-01 2.9464054037e-01 -2.6146915222e+00 )	( 4.3015801171e-01 2.8912922859e-01 -2.6216485814e+00 )	( -2.5787263164e-03 5.5113117828e-03 6.9570591891e-03 )
35               	( 4.2316620335e-01 2.9167003159e-01 -2.5875475906e+00 )	( 4.2576139424e-01 2.8613331438e-01 -2.5945551627e+00 )	( -2.5951908879e-03 5.5367172111e-03 7.0075720447e-03 )
36               	( 4.1885905382e-01 2.8877478043e-01 -2.5610731862e+00 )	( 4.2146755938e-01 2.8322041455e-01 -2.5681238462e+00 )	( -2.6085055667e-03 5.5543658853e-03 7.0506600536e-03 )
37               	( 4.1455417337e-01 2.8588848147e-01 -2.5346274482e+00 )	( 4.1717872308e-01 2.8031066783e-01 -2.5417287069e+00 )	( -2.6245497074e-03 5.5778136394e-03 7.1012586816e-03 )
38               	( 4.1030385153e-01 2.8300979680e-01 -2.5084447408e+00 )	( 4.1294133120e-01 2.7741612573e-01 -2.5155892254e+00 )	( -2.6374796726e-03 5.5936710672e-03 7.1444846002e-03 )
39               	( 4.0610769813e-01 2.8017578821e-01 -2.4826015538e+00 )	( 4.0876083773e-01 2.7456046115e-01 -2.4897967871e+00 )	( -2.6531396000e-03 5.6153270677e-03 7.1952332633e-03 )
40               	( 4.0195168634e-01 2.7734284411e-01 -2.4569483679e+00 )	( 4.0461737132e-01 2.7171345719e-01 -2.4641869897e+00 )	( -2.6656849799e-03 5.6293869219e-03 7.2386217944e-03 )
41               	( 3.9788159871e-01 2.7457749131e-01 -2.4318287019e+00 )	( 4.0056264457e-01 2.6892806855e-01 -2.4391184600e+00 )	( -2.6810458648e-03 5.6494227634e-03 7.2897581252e-03 )
42               	( 3.9389653838e-01 2.7184683815e-01 -2.4071785483e+00 )	( 3.9658986063e-01 2.6618482148e-01 -2.4145120900e+00 )	( -2.6933222430e-03 5.6620166730e-03 7.3335417263e-03 )
43               	( 3.8993251837e-01 2.6912410232e-01 -2.3826293441e+00 )	( 3.9264103953e-01 2.6344332708e-01 -2.3900147418e+00 )	( -2.7085211591e-03 5.6807752413e-03 7.3853977050e-03 )
44               	( 3.8604727530e-01 2.6642261709e-01 -2.3584847423e+00 )	( 3.8876807735e-01 2.6073019146e-01 -2.3659151237e+00 )	( -2.7208020433e-03 5.6924256315e-03 7.4303814070e-03 )
